Ranking	Baseline Rate	CM Rate	Number of States	Cmu	Lopt
0	0.617	0.863	2.0	0.957154	1.0
1	0.795	0.795	1.0	-0.0	1.0
2	0.922	0.943	2.0	0.459706	1.0
3	0.997	0.993	2.0	0.147126	1.0
4	0.929	0.929	1.0	-0.0	1.0
5	0.596	0.778	12.0	1.13834	6.0
6	0.996	0.996	2.0	0.253086	1.0
7	0.996	0.992	2.0	0.25415	1.0
8	0.988	0.988	1.0	-0.0	1.0
9	0.604	0.806	2.0	0.957133	1.0
10	0.905	0.935	4.0	0.52419	4.0
11	0.63	0.651	204.0	5.62707	10.0
12	0.55	0.732	216.0	5.71766	10.0
13	0.996	0.996	2.0	0.218271	1.0
14	0.777	0.946	2.0	0.822909	1.0
15	0.445	0.731	8.0	2.78212	4.0
16	0.745	0.736	5.0	1.53796	3.0
17	0.941	0.935	9.0	2.2718	4.0
18	0.871	0.871	18.0	2.87811	8.0
19	0.839	0.835	80.0	4.92114	9.0
20	0.847	0.915	2.0	0.625723	1.0
21	0.567	0.798	4.0	1.71336	2.0
22	0.614	0.748	104.0	5.77972	9.0
23	0.602	0.669	2.0	0.949384	1.0
24	0.905	0.932	123.0	3.81204	9.0
25	0.621	0.667	12.0	3.21683	6.0
26	0.583	0.887	2.0	0.831271	1.0
27	0.849	0.917	2.0	0.631916	1.0
28	0.725	0.773	2.0	0.876138	1.0
29	0.716	0.879	75.0	2.89442	9.0
30	0.844	0.975	3.0	0.756474	2.0
31	0.765	0.871	2.0	0.699141	1.0
32	0.896	0.9	2.0	0.572108	1.0
33	0.958	0.958	2.0	0.320248	1.0
34	0.576	0.551	7.0	1.94453	4.0
35	0.871	0.875	2.0	0.601435	1.0
36	0.519	0.704	25.0	3.32678	7.0
37	0.614	0.748	81.0	4.7969	9.0
38	0.521	0.779	2.0	0.934254	1.0
39	0.891	0.969	2.0	0.931167	1.0
40	0.481	0.788	80.0	4.23407	9.0
41	0.892	0.894	2.0	0.707871	1.0
42	0.657	0.667	178.0	6.35424	10.0
43	0.688	0.864	8.0	1.91784	5.0
44	0.654	0.9	2.0	0.789297	1.0
45	0.415	0.748	2.0	0.971072	1.0
46	0.813	0.813	2.0	0.854618	1.0
47	0.615	0.753	2.0	0.978491	1.0
48	0.763	0.766	4.0	1.1348	4.0
49	0.76	0.802	4.0	1.76306	2.0
50	0.776	0.776	2.0	0.778828	1.0
51	0.744	0.927	2.0	0.870284	1.0
52	0.634	0.708	222.0	6.67339	10.0
53	0.466	0.873	62.0	4.00446	8.0
54	0.697	0.754	67.0	5.03002	9.0
55	0.66	0.744	8.0	2.66384	4.0
56	0.571	0.62	20.0	3.54924	8.0
57	0.637	0.827	2.0	0.898861	1.0
58	0.56	0.785	2.0	0.998846	1.0
59	0.597	0.845	2.0	0.88539	1.0
60	0.771	0.839	94.0	3.87479	9.0
61	0.65	0.748	86.0	3.55235	9.0
62	0.73	0.733	36.0	4.69167	7.0
63	0.742	0.908	2.0	0.837103	1.0
64	0.793	0.83	2.0	0.766662	1.0
65	0.721	0.831	2.0	0.861344	1.0
66	0.811	0.837	10.0	2.52466	6.0
67	0.781	0.898	2.0	0.80917	1.0
68	0.844	0.889	2.0	0.669862	1.0
69	0.918	0.931	2.0	0.684124	1.0
70	0.825	0.863	49.0	4.09027	8.0
71	0.775	0.833	2.0	0.746491	1.0
72	0.88	0.875	2.0	0.441852	1.0
73	0.757	0.814	82.0	3.39174	9.0
74	0.804	0.825	2.0	0.840566	1.0
75	0.54	0.698	2.0	0.997716	1.0
76	0.79	0.825	2.0	0.904532	1.0
77	0.724	0.776	2.0	0.859405	1.0
78	0.451	0.487	179.0	5.8195	10.0
79	0.756	0.812	2.0	0.815868	1.0
80	0.722	0.878	4.0	1.22173	4.0
81	0.545	0.655	207.0	6.8157	10.0
82	0.7	0.7	1.0	-0.0	1.0
83	0.691	0.847	2.0	0.831547	1.0
84	0.842	0.906	2.0	0.669709	1.0
85	0.752	0.904	2.0	0.909076	1.0
86	0.596	0.842	19.0	3.23715	7.0
87	0.838	0.838	1.0	-0.0	1.0
88	0.673	0.852	2.0	0.904105	1.0
89	0.207	0.77	204.0	3.92573	10.0
90	0.677	0.706	2.0	0.967951	1.0
91	0.465	0.846	8.0	2.61102	6.0
92	0.806	0.922	2.0	0.707306	1.0
93	0.679	0.825	2.0	0.919541	1.0
94	0.839	0.841	209.0	4.04818	10.0
95	0.769	0.821	2.0	0.878987	1.0
96	0.698	0.725	97.0	5.30345	9.0
97	0.672	0.682	95.0	3.31719	9.0
98	0.725	0.712	4.0	1.74782	2.0
99	0.725	0.814	3.0	1.32259	2.0
100	0.693	0.747	2.0	0.848548	1.0
101	0.658	0.694	2.0	0.921797	1.0
102	0.547	0.611	182.0	6.51674	10.0
103	0.76	0.915	2.0	0.597984	1.0
104	0.579	0.854	2.0	0.824869	1.0
105	0.808	0.869	2.0	0.611851	1.0
106	0.555	0.778	84.0	5.22745	9.0
107	0.778	0.78	43.0	4.03332	8.0
108	0.899	0.976	2.0	0.572108	1.0
109	0.627	0.71	17.0	3.72706	8.0
110	0.912	0.925	2.0	0.686673	1.0
111	0.619	0.869	2.0	0.621554	1.0
112	0.794	0.854	2.0	0.763953	1.0
113	0.573	0.827	2.0	0.929438	1.0
114	0.674	0.981	2.0	0.928715	1.0
115	0.533	0.568	188.0	6.6333	10.0
116	0.232	0.697	175.0	6.44709	10.0
117	0.745	0.896	2.0	0.886798	1.0
118	0.882	0.899	2.0	0.565998	1.0
119	0.833	0.848	2.0	0.737482	1.0
120	0.855	0.841	192.0	5.37751	10.0
121	0.595	0.912	39.0	4.6719	6.0
122	0.818	0.865	44.0	2.32736	8.0
123	0.493	0.733	2.0	0.864102	1.0
124	0.883	0.919	93.0	2.84771	9.0
125	0.675	0.726	3.0	1.1273	2.0
126	0.701	0.701	5.0	2.01332	4.0
127	0.732	0.789	99.0	3.15495	9.0
128	0.426	0.89	75.0	4.7814	9.0
129	0.754	0.917	2.0	0.604017	1.0
130	0.745	0.852	2.0	0.624287	1.0
131	0.717	0.86	2.0	0.888797	1.0
132	0.76	0.78	49.0	4.68136	8.0
133	0.679	0.833	2.0	0.815813	1.0
134	0.917	0.903	2.0	0.619127	1.0
135	0.86	0.883	2.0	0.719421	1.0
136	0.773	0.808	4.0	1.47348	2.0
137	0.659	0.701	4.0	1.83651	2.0
138	0.854	0.854	2.0	0.581485	1.0
139	0.821	0.836	3.0	0.650096	2.0
140	0.581	0.617	5.0	2.26065	4.0
141	0.77	0.745	205.0	5.81102	10.0
142	0.592	0.736	15.0	3.25675	5.0
143	0.831	0.856	2.0	0.789789	1.0
144	0.688	0.761	103.0	3.07938	9.0
145	0.819	0.868	2.0	0.730694	1.0
146	0.756	0.779	2.0	0.766924	1.0
147	0.498	0.596	4.0	1.47383	3.0
148	0.759	0.781	2.0	0.814213	1.0
149	0.863	0.872	4.0	1.1231	2.0
150	0.698	0.812	2.0	0.784786	1.0
151	0.41	0.41	1.0	-0.0	1.0
152	0.819	0.826	2.0	0.503837	1.0
153	0.871	0.9	2.0	0.658885	1.0
154	0.64	0.906	2.0	0.608479	1.0
155	0.752	0.825	2.0	0.749719	1.0
156	0.613	0.706	2.0	0.927778	1.0
157	0.747	0.735	4.0	1.94866	2.0
158	0.765	0.829	2.0	0.624248	1.0
159	0.7	0.875	2.0	0.83607	1.0
160	0.746	0.73	48.0	4.79406	8.0
161	0.856	0.876	47.0	2.10641	8.0
162	0.627	0.713	2.0	0.941974	1.0
163	0.521	0.672	21.0	3.73895	9.0
164	0.551	0.597	53.0	5.45945	9.0
165	0.751	0.883	28.0	1.99632	8.0
166	0.694	0.66	203.0	5.7941	10.0
167	0.602	0.676	4.0	1.90387	2.0
168	0.904	0.904	2.0	0.521525	1.0
169	0.609	0.649	8.0	2.46494	5.0
170	0.797	0.839	204.0	4.92953	10.0
171	0.522	0.513	109.0	5.98852	10.0
172	0.724	0.825	23.0	2.38005	8.0
173	0.755	0.757	95.0	4.24833	9.0
174	0.677	0.727	2.0	0.925416	1.0
175	0.771	0.817	2.0	0.796423	1.0
176	0.722	0.901	2.0	0.561566	1.0
177	0.932	0.927	2.0	0.489803	1.0
178	0.886	0.888	4.0	1.19578	2.0
179	0.526	0.602	241.0	6.28669	10.0
180	0.957	0.938	2.0	0.736091	1.0
181	0.589	0.765	82.0	4.36957	9.0
182	0.657	0.747	198.0	5.4835	10.0
183	0.848	0.841	246.0	4.44582	10.0
184	0.567	0.854	2.0	0.740686	1.0
185	0.678	0.737	4.0	1.63379	2.0
186	0.541	0.8	13.0	2.94167	7.0
187	0.778	0.771	2.0	0.867446	1.0
188	0.749	0.786	195.0	5.6366	10.0
189	0.555	0.62	74.0	4.208	9.0
190	0.492	0.492	2.0	0.941405	1.0
191	0.748	0.795	77.0	3.89581	9.0
192	0.635	0.746	2.0	0.679165	1.0
193	0.811	0.811	2.0	0.745037	1.0
194	0.406	0.828	42.0	5.0228	7.0
195	0.903	0.917	2.0	0.457642	1.0
196	0.926	0.933	4.0	0.836808	2.0
197	0.726	0.762	4.0	1.45687	2.0
198	0.8	0.807	3.0	1.18897	2.0
199	0.634	0.706	166.0	6.01823	10.0
200	0.873	0.912	2.0	0.77692	1.0
201	0.565	0.552	111.0	6.05061	10.0
202	0.694	0.733	2.0	0.903245	1.0
203	0.75	0.841	14.0	3.0176	7.0
204	0.569	0.569	2.0	0.970029	1.0
205	0.734	0.734	2.0	0.78269	1.0
206	0.945	0.971	2.0	0.319462	1.0
207	0.712	0.764	4.0	1.26582	2.0
208	0.756	0.785	2.0	0.864698	1.0
209	0.811	0.904	4.0	1.22265	2.0
210	0.798	0.823	2.0	0.74046	1.0
211	0.933	0.933	2.0	0.703353	1.0
212	0.644	0.708	2.0	0.903245	1.0
213	0.527	0.598	2.0	0.922811	1.0
214	0.517	0.517	1.0	-0.0	1.0
215	0.707	0.746	5.0	2.02051	3.0
216	0.86	0.86	1.0	-0.0	1.0
217	0.796	0.796	2.0	0.763199	1.0
218	0.834	0.847	5.0	1.32201	4.0
219	0.521	0.657	165.0	6.58291	10.0
220	0.581	0.909	4.0	1.98621	2.0
221	0.864	0.93	10.0	0.927232	6.0
222	0.635	0.833	2.0	0.933338	1.0
223	0.667	0.752	2.0	0.849686	1.0
224	0.772	0.782	4.0	1.57666	2.0
225	0.493	0.817	11.0	2.39272	5.0
226	0.656	0.781	6.0	2.17051	4.0
227	0.858	0.858	2.0	0.910394	1.0
228	0.952	0.943	68.0	4.23487	9.0
229	0.808	0.808	2.0	0.856842	1.0
230	0.886	0.916	4.0	1.09312	2.0
231	0.93	0.93	2.0	0.429076	1.0
232	0.841	0.922	2.0	0.644496	1.0
233	0.726	0.755	4.0	0.999498	3.0
234	0.892	0.95	2.0	0.512947	1.0
235	0.917	0.917	2.0	0.330629	1.0
