Ranking	Baseline Rate	CM Rate	Number of States	Cmu	Lopt
0	0.617	0.863	2.0	0.957154	1.0
1	0.795	0.795	1.0	-0.0	1.0
2	0.922	0.943	2.0	0.459706	1.0
3	0.997	0.993	2.0	0.147126	1.0
4	0.929	0.929	1.0	-0.0	1.0
5	0.596	0.778	12.0	1.13834	6.0
6	0.996	0.996	2.0	0.253086	1.0
7	0.996	0.992	2.0	0.25415	1.0
8	0.988	0.988	1.0	-0.0	1.0
9	0.604	0.806	2.0	0.957133	1.0
10	0.905	0.935	4.0	0.52419	4.0
11	0.63	0.651	204.0	5.62707	10.0
12	0.55	0.732	216.0	5.71766	10.0
13	0.996	0.996	2.0	0.218271	1.0
14	0.777	0.946	2.0	0.822909	1.0
15	0.445	0.731	8.0	2.78212	4.0
16	0.745	0.736	5.0	1.53796	3.0
17	0.941	0.935	9.0	2.2718	4.0
18	0.871	0.871	18.0	2.87811	8.0
19	0.839	0.835	80.0	4.92114	9.0
20	0.847	0.915	2.0	0.625723	1.0
21	0.567	0.798	4.0	1.71336	2.0
22	0.614	0.748	104.0	5.77972	9.0
23	0.602	0.669	2.0	0.949384	1.0
24	0.905	0.932	123.0	3.81204	9.0
25	0.621	0.667	12.0	3.21683	6.0
26	0.583	0.887	2.0	0.831271	1.0
27	0.849	0.917	2.0	0.631916	1.0
28	0.725	0.773	2.0	0.876138	1.0
29	0.716	0.879	75.0	2.89442	9.0
30	0.844	0.975	3.0	0.756474	2.0
31	0.765	0.871	2.0	0.699141	1.0
32	0.896	0.9	2.0	0.572108	1.0
33	0.958	0.958	2.0	0.320248	1.0
34	0.576	0.551	7.0	1.94453	4.0
35	0.871	0.875	2.0	0.601435	1.0
36	0.519	0.704	25.0	3.32678	7.0
37	0.614	0.748	81.0	4.7969	9.0
38	0.521	0.779	2.0	0.934254	1.0
39	0.891	0.969	2.0	0.931167	1.0
