user_id	Ranking	Baseline Rate	CM Rate	Number of States	Cmu	hmu	Lopt
200230533	449	0.592	0.914	23.0	3.5189	0.3394	7.0
92356909	450	0.82	0.82	2.0	0.750153	0.698088	1.0
1750241	451	0.891	0.859	2.0	0.650022	0.540469	1.0
16818880	452	0.901	0.891	2.0	0.699506	0.562624	1.0
228397622	453	0.909	0.888	2.0	0.565101	0.444094	1.0
15762258	454	0.789	0.784	28.0	2.30249	0.618175	8.0
92927188	455	0.924	0.924	2.0	0.528762	0.447023	1.0
17083396	456	0.73	0.77	253.0	4.96668	0.57378	10.0
227162392	457	0.489	0.5	157.0	4.81579	0.669405	10.0
110545906	458	0.847	0.849	102.0	3.78694	0.613896	9.0
14870168	459	0.698	0.698	2.0	0.501955	0.420556	1.0
15106068	460	0.849	0.917	2.0	0.433333	0.33146	1.0
23008116	461	0.841	0.841	2.0	0.674808	0.63973	1.0
15585410	462	0.753	0.787	4.0	1.60368	0.714374	2.0
263159094	463	0.535	0.688	7.0	2.23438	0.524234	5.0
70199201	464	0.808	0.903	22.0	3.13184	0.451371	7.0
16561212	465	0.867	0.867	2.0	0.5421	0.528213	1.0
151690856	466	0.885	0.885	2.0	0.5421	0.479563	1.0
62846638	467	0.832	0.849	99.0	2.85898	0.462344	9.0
39362638	468	0.914	0.953	2.0	0.466514	0.327334	1.0
139960419	469	0.745	0.745	2.0	0.856442	0.8537	1.0
5660312	470	0.71	0.747	168.0	3.42622	0.480056	10.0
26780801	471	0.935	0.912	2.0	0.655436	0.545835	1.0
106283898	472	0.906	0.906	2.0	0.723488	0.648174	1.0
18627463	473	0.901	0.901	1.0	-0.0	0.444849	1.0
23500913	474	0.865	0.865	2.0	0.84525	0.804771	1.0
215279991	475	0.666	0.663	9.0	3.061	0.910776	5.0
5489202	476	0.874	0.874	6.0	1.24129	0.730865	6.0
91106767	477	0.75	0.75	2.0	0.871862	0.868182	1.0
111047938	478	0.719	0.781	46.0	3.34438	0.585215	8.0
14218186	479	0.826	0.826	2.0	0.67076	0.632162	1.0
76456492	480	0.831	0.831	2.0	0.590614	0.524819	1.0
18343178	481	0.859	0.859	2.0	0.480447	0.444168	1.0
55648693	482	0.792	0.799	2.0	0.701144	0.589957	1.0
