uid	C	h	|S|
184274305	1.56051	0.536033	6
178808746	-0.0	0.676824	1
196071730	0.457846	0.314082	2
32451329	0.155441	0.103557	2
23244977	-0.0	0.395024	1
21658412	1.29446	0.279111	15
235319539	0.682526	0.026885	2
253422875	0.682526	0.0303216	2
59697909	4.20348	0.312381	58
17580892	0.969234	0.689308	2
62509989	0.520303	0.34608	4
14448173	5.61684	0.755324	195
186633188	3.41225	0.822498	15
23154642	0.709223	0.0974896	15
124854403	0.817948	0.15319	2
116706360	2.89809	0.87196	9
56377143	0.86508	0.845818	2
107572393	2.63771	0.521327	25
1712831	4.39443	0.599827	87
16290327	4.72158	0.568053	51
111992715	0.593319	0.390951	2
36643209	1.9055	0.701115	5
19713521	6.72532	0.63038	228
39584114	1.32637	0.863976	3
23172966	3.72349	0.506432	103
52788040	2.44069	0.86558	7
146943510	0.885613	0.367209	2
16506186	0.599314	0.387726	2
27515718	0.87704	0.739112	2
24716002	0.865637	0.500595	2
6911662	1.00974	0.157124	6
135108060	0.718171	0.45427	2
184630300	0.562782	0.44636	2
51131831	-0.0	0.296576	1
236195413	2.26078	0.571055	19
146965762	0.583927	0.445316	2
16882980	4.19182	0.761402	42
15434432	1.92499	0.842545	4
95985617	0.902457	0.678648	2
36997036	0.361721	0.162954	2
62554155	4.44508	0.738529	92
192477353	0.758269	0.57647	2
20160897	7.19715	0.73955	333
18183592	1.76975	0.702613	7
20733757	0.788273	0.389575	2
42992593	0.989382	0.752957	2
18954425	3.36319	0.605177	51
131370098	0.987594	0.853604	2
36912323	3.87548	0.750157	38
105623556	3.07057	0.66781	15
178367712	5.33205	0.636603	105
168245060	0.863401	0.35864	2
29459695	4.75139	0.872803	45
179264757	5.36149	0.376198	265
90776145	3.84796	0.818952	17
24436600	4.0531	0.784132	30
18049840	4.85461	0.913927	41
201763743	0.881499	0.638358	2
230182617	0.999343	0.875509	2
202192724	0.879412	0.696789	2
19377400	3.705	0.549776	88
179604441	1.81788	0.642481	5
142513252	5.25925	0.678044	97
43163302	0.747598	0.41163	2
211922592	0.808911	0.620996	2
75630518	0.886122	0.590553	2
97716037	2.26988	0.631967	9
28863804	1.35657	0.486879	4
65193458	0.666537	0.476424	2
42284908	0.636522	0.430135	2
178525052	5.58226	0.467648	272
110918004	0.755136	0.556203	2
224074946	0.428569	0.345351	2
18626582	0.740734	0.574883	2
135701184	0.838373	0.594674	2
42868982	0.996985	0.850031	2
15896379	0.895311	0.66925	2
26847783	0.856284	0.711327	2
79740296	-0.0	0.965458	1
33498000	0.861711	0.666817	2
35524334	1.77585	0.562817	8
245595559	4.72942	0.91217	48
29807370	6.19172	0.678705	206
14578544	0.823508	0.523391	2
66951419	0.671767	0.395182	2
245793450	0.919987	0.503695	2
39047949	1.28637	0.607231	3
17011345	4.13814	0.588572	29
30308283	0.862276	0.63542	2
18449174	2.16011	0.517671	8
193274143	0.977315	0.838279	2
16615594	4.01625	0.645669	49
15978380	0.667014	0.381072	2
106824606	0.90105	0.624395	2
35810047	0.817287	0.648815	2
18017238	0.849261	0.638042	2
18879847	5.22949	0.609183	93
30665326	0.729181	0.680695	2
16261638	3.76793	0.827582	35
7144882	1.69741	0.593625	6
229944730	2.24821	0.655791	13
258923616	2.23322	0.797728	6
16175706	4.62367	0.928386	44
188574103	0.617973	0.315973	2
184518363	0.84144	0.553638	2
220190718	0.565245	0.371139	2
17393790	6.44741	0.61835	177
19794129	2.89335	0.71397	10
133923294	0.399687	0.12313	2
20698002	3.74036	0.826303	17
85665693	0.60471	0.349353	2
42026511	0.683913	0.344808	2
42684074	0.729599	0.523762	2
271978241	0.922489	0.690818	2
258843668	0.905469	0.262186	2
18066875	4.70453	0.943846	35
17789501	4.8749	0.905924	45
240606964	0.767901	0.547066	2
143482718	0.482021	0.408527	2
218193050	0.729599	0.548606	2
52910865	2.92827	0.697966	12
16366271	4.41749	0.602181	33
252371425	0.649034	0.456047	2
14304302	0.941362	0.765208	2
20376532	2.49687	0.225975	53
99324565	1.63647	0.754257	4
46958309	3.59257	0.728753	21
19996935	0.783193	0.546992	2
24733117	5.059	0.56714	100
210058908	0.702023	0.449267	2
